시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,공중화장실보유여부,주차장보유여부,개설연도
괴정골목시장,상설장,부산광역시 사하구 사하로198번길 37(괴정동) 외,부산광역시 사하구 괴정동 435-8,매일,35.1001699,128.995575,145,"정육점, 쌀집, 생선, 축산, 의류, 분식, 야채, 떡, 과일, 참기름, 철물, 중탕, 죽집 등",N,N,49
국제시장,상설장,부산광역시 중구 중구로 42,부산광역시 중구 신창동4가 40-5,매일,35.10154083,129.0280723,580,주단 침구 문구 등,Y,Y,74
기장시장,상설장,부산광역시 기장군 기장읍 읍내로 104번길 16,부산광역시 기장군 기장읍 대라리 72-1,부산광역시 기장군 기장읍 대라리 72-1번지,35.2436952,129.2148671,149,"수산물, 농산물",Y,Y,78
남항시장,상설장,부산광역시 영도구 절영로49번길 73-5,부산광역시 영도구 영선동2가 64-6,매일,35.0889083,129.0422623,272,"농축산물, 수산물, 의류, 공산품 등 생필품 위주",Y,Y,62
복이 있는 덕포시장,상설장,부산광역시 사상구 사상로293번길 12(덕포1동),부산광역시 사상구 덕포동 421-13,매일,35.17128238,128.9822554,190,잡화,N,N,41
동래시장,상설장,부산광역시 동래구 동래시장길 14 (복천동),부산광역시 동래구 복천동 229-28,매일,35.20380872,129.085952,343,"농산물, 생필품, 수산물, 잡화 등",Y,Y,52
명지시장,상설장,부산광역시 강서구 신포길17번길27(명지동),부산광역시 강서구 명지동 1-377,매일,35.11253974,128.9315973,120,"농,축,수산물",Y,Y,77
못골골목시장,상설장,부산광역시 남구 못골로 66-1,부산광역시 남구 대연동 1416-23,매일,35.13586013,129.0896362,147,"활어, 채소, 건어물",Y,Y,57
민락골목시장,상설장,부산시 수영구 광안해변로277번길 28-8(민락동)외,,매일,35.15731478,129.1243725,85,"생식품, 양념류 등",Y,Y,39
부산진시장,상설장,부산광역시 동구 진시장로 24 (범일동),부산광역시 동구 범일동 290-1,매일,35.136421,129.0588377,1230,"의류,혼수용품",Y,Y,48
부산평화시장,상설장,부산광역시 부산진구 자유평화로 7,부산광역시 부산진구 범천동 839-52,매일,35.14169839,129.0606733,540,"의류,신발등",Y,N,52
부전상가,상설장,부산광역시 부산진구 중앙대로755번길 21,부산광역시 부산진구 부전동 265-25,매일,35.1603451,129.0595691,704,농수축산물,Y,N,72
부평깡통시장,상설장,부산광역시 중구 중구로 39번길 32,부산광역시 중구 부평동2가 15-10,매일,35.1014853,129.02622,1381,잡화 수입용품,Y,Y,112
서동전통골목시장,상설장,부산광역시 금정구 서동로 145-12(서동),부산광역시 금정구 서동 339-1,매일,35.2155735,129.1023439,209,"횟집, 농산물, 떡, 배추, 식당, 비닐 등",N,N,54
연일시장,상설장,부산광역시 연제구 고분로 24,부산광역시 연제구 연산동 636-28,매일,35.18557067,129.084849,100,"어물,식육,음식점",Y,Y,44
자갈치시장,상설장,부산광역시 중구 자갈치해안로 52,부산광역시 중구 남포동4가 37-1,매일,35.0966394,129.0305933,280,활어 건어물,Y,Y,52
자유시장,상설장,부산광역시 동구 조방로 48 (범일동),부산광역시 동구 범일동830-24,매일,35.140921,129.061096,1483,"의류,신발,생활용품",Y,Y,47
정이있는 구포시장,상설장,부산광역시 북구 구포시장길 9(구포동),부산광역시 북구 구포동 599-18,"매일, 3일, 8일",35.2089211,129.0035087,870,"농산물, 의류, 식당",Y,Y,88
충무동새벽시장,상설장,부산광역시 서구 해안새벽시장길 68(남부민동),부산광역시 서구 남부민동 684,매일,35.09329489,129.024741,310,농산물,N,Y,57
해운대시장,상설장,부산광역시 해운대구 구남로41번길 22-1,부산광역시 해운대구 중동 1394-193,매일,35.16140263,129.1623142,104,"농산물, 생필품, 수산물, 잡화 등",Y,Y,17
