시장명,카드이용금액,유동인구수,점포수,공중화장실보유여부,주차장보유여부,개설 후 기간,구 인구,행정동 인구,편의점,"주유소,충전소",문화시설,관광명소,음식점,카페,월
괴정골목시장,284493000 ,30276 ,145 ,0 ,0 ,49 ,236485 ,12770 ,40 ,4 ,1 ,0 ,491 ,61 ,1월
괴정골목시장,202965000 ,27931 ,145 ,0 ,0 ,49 ,236485 ,12770 ,40 ,4 ,1 ,0 ,491 ,61 ,2월
괴정골목시장,178481000 ,30569 ,145 ,0 ,0 ,49 ,236485 ,12770 ,40 ,4 ,1 ,0 ,491 ,61 ,3월
괴정골목시장,194715000 ,31331 ,145 ,0 ,0 ,49 ,236485 ,12770 ,40 ,4 ,1 ,0 ,491 ,61 ,4월
괴정골목시장,283463000 ,32684 ,145 ,0 ,0 ,49 ,236485 ,12770 ,40 ,4 ,1 ,0 ,491 ,61 ,5월
괴정골목시장,223854000 ,31300 ,145 ,0 ,0 ,49 ,236485 ,12770 ,40 ,4 ,1 ,0 ,491 ,61 ,6월
괴정골목시장,218571000 ,30340 ,145 ,0 ,0 ,49 ,236485 ,12770 ,40 ,4 ,1 ,0 ,491 ,61 ,7월
괴정골목시장,210886000 ,29247 ,145 ,0 ,0 ,49 ,236485 ,12770 ,40 ,4 ,1 ,0 ,491 ,61 ,8월
괴정골목시장,262419000 ,28419 ,145 ,0 ,0 ,49 ,236485 ,12770 ,40 ,4 ,1 ,0 ,491 ,61 ,9월
괴정골목시장,202168000 ,31175 ,145 ,0 ,0 ,49 ,236485 ,12770 ,40 ,4 ,1 ,0 ,491 ,61 ,10월
괴정골목시장,230245000 ,31199 ,145 ,0 ,0 ,49 ,236485 ,12770 ,40 ,4 ,1 ,0 ,491 ,61 ,11월
괴정골목시장,206071000 ,29623 ,145 ,0 ,0 ,49 ,236485 ,12770 ,40 ,4 ,1 ,0 ,491 ,61 ,12월
국제시장,223524000 ,10142 ,580 ,1 ,1 ,74 ,43617 ,1088 ,106 ,1 ,44 ,44 ,2163 ,425 ,1월
국제시장,171779000 ,8106 ,580 ,1 ,1 ,74 ,43617 ,1088 ,106 ,1 ,44 ,44 ,2163 ,425 ,2월
국제시장,192033000 ,6733 ,580 ,1 ,1 ,74 ,43617 ,1088 ,106 ,1 ,44 ,44 ,2163 ,425 ,3월
국제시장,214953000 ,6525 ,580 ,1 ,1 ,74 ,43617 ,1088 ,106 ,1 ,44 ,44 ,2163 ,425 ,4월
국제시장,372214000 ,6764 ,580 ,1 ,1 ,74 ,43617 ,1088 ,106 ,1 ,44 ,44 ,2163 ,425 ,5월
국제시장,321665000 ,6496 ,580 ,1 ,1 ,74 ,43617 ,1088 ,106 ,1 ,44 ,44 ,2163 ,425 ,6월
국제시장,226887000 ,7541 ,580 ,1 ,1 ,74 ,43617 ,1088 ,106 ,1 ,44 ,44 ,2163 ,425 ,7월
국제시장,213198000 ,7216 ,580 ,1 ,1 ,74 ,43617 ,1088 ,106 ,1 ,44 ,44 ,2163 ,425 ,8월
국제시장,202815000 ,6846 ,580 ,1 ,1 ,74 ,43617 ,1088 ,106 ,1 ,44 ,44 ,2163 ,425 ,9월
국제시장,213132000 ,6990 ,580 ,1 ,1 ,74 ,43617 ,1088 ,106 ,1 ,44 ,44 ,2163 ,425 ,10월
국제시장,225490000 ,6867 ,580 ,1 ,1 ,74 ,43617 ,1088 ,106 ,1 ,44 ,44 ,2163 ,425 ,11월
국제시장,246670000 ,6198 ,580 ,1 ,1 ,74 ,43617 ,1088 ,106 ,1 ,44 ,44 ,2163 ,425 ,12월
기장시장,397877000 ,2945 ,149 ,1 ,1 ,78 ,176635 ,53200 ,39 ,6 ,3 ,7 ,555 ,63 ,1월
기장시장,217017000 ,2639 ,149 ,1 ,1 ,78 ,176635 ,53200 ,39 ,6 ,3 ,7 ,555 ,63 ,2월
기장시장,155159000 ,2746 ,149 ,1 ,1 ,78 ,176635 ,53200 ,39 ,6 ,3 ,7 ,555 ,63 ,3월
기장시장,217079000 ,2824 ,149 ,1 ,1 ,78 ,176635 ,53200 ,39 ,6 ,3 ,7 ,555 ,63 ,4월
기장시장,335075000 ,2909 ,149 ,1 ,1 ,78 ,176635 ,53200 ,39 ,6 ,3 ,7 ,555 ,63 ,5월
기장시장,205286000 ,2770 ,149 ,1 ,1 ,78 ,176635 ,53200 ,39 ,6 ,3 ,7 ,555 ,63 ,6월
기장시장,202215000 ,8681 ,149 ,1 ,1 ,78 ,176635 ,53200 ,39 ,6 ,3 ,7 ,555 ,63 ,7월
기장시장,252989000 ,5600 ,149 ,1 ,1 ,78 ,176635 ,53200 ,39 ,6 ,3 ,7 ,555 ,63 ,8월
기장시장,250171000 ,5923 ,149 ,1 ,1 ,78 ,176635 ,53200 ,39 ,6 ,3 ,7 ,555 ,63 ,9월
기장시장,259679000 ,5932 ,149 ,1 ,1 ,78 ,176635 ,53200 ,39 ,6 ,3 ,7 ,555 ,63 ,10월
기장시장,288089000 ,5885 ,149 ,1 ,1 ,78 ,176635 ,53200 ,39 ,6 ,3 ,7 ,555 ,63 ,11월
기장시장,320668000 ,5698 ,149 ,1 ,1 ,78 ,176635 ,53200 ,39 ,6 ,3 ,7 ,555 ,63 ,12월
남항시장,529169000 ,29293 ,272 ,1 ,1 ,62 ,115144 ,4170 ,31 ,4 ,3 ,10 ,639 ,89 ,1월
남항시장,345461000 ,27417 ,272 ,1 ,1 ,62 ,115144 ,4170 ,31 ,4 ,3 ,10 ,639 ,89 ,2월
남항시장,353519000 ,29518 ,272 ,1 ,1 ,62 ,115144 ,4170 ,31 ,4 ,3 ,10 ,639 ,89 ,3월
남항시장,341246000 ,29091 ,272 ,1 ,1 ,62 ,115144 ,4170 ,31 ,4 ,3 ,10 ,639 ,89 ,4월
남항시장,527600000 ,27253 ,272 ,1 ,1 ,62 ,115144 ,4170 ,31 ,4 ,3 ,10 ,639 ,89 ,5월
남항시장,427234000 ,26459 ,272 ,1 ,1 ,62 ,115144 ,4170 ,31 ,4 ,3 ,10 ,639 ,89 ,6월
남항시장,393733000 ,36812 ,272 ,1 ,1 ,62 ,115144 ,4170 ,31 ,4 ,3 ,10 ,639 ,89 ,7월
남항시장,371603000 ,38337 ,272 ,1 ,1 ,62 ,115144 ,4170 ,31 ,4 ,3 ,10 ,639 ,89 ,8월
남항시장,495056000 ,31356 ,272 ,1 ,1 ,62 ,115144 ,4170 ,31 ,4 ,3 ,10 ,639 ,89 ,9월
남항시장,355638000 ,27667 ,272 ,1 ,1 ,62 ,115144 ,4170 ,31 ,4 ,3 ,10 ,639 ,89 ,10월
남항시장,402537000 ,25652 ,272 ,1 ,1 ,62 ,115144 ,4170 ,31 ,4 ,3 ,10 ,639 ,89 ,11월
남항시장,472811000 ,24150 ,272 ,1 ,1 ,62 ,115144 ,4170 ,31 ,4 ,3 ,10 ,639 ,89 ,12월
덕포시장,530405000 ,45796 ,190 ,0 ,0 ,41 ,217135 ,9140 ,47 ,7 ,2 ,2 ,713 ,98 ,1월
덕포시장,417224000 ,43936 ,190 ,0 ,0 ,41 ,217135 ,9140 ,47 ,7 ,2 ,2 ,713 ,98 ,2월
