0,지점명,대형마트,주차장,지하철역,학교,편의점,"주유소,충전소",문화시설,관광명소,음식점,카페,주소,위도,경도,DT여부,시도명
1,구로호텔,4,122,1,9,136,8,7,2,1634,257,"서울특별시 구로구 디지털로32길 72, 구로호텔 1층 (구로동)",37.4831293,126.8988591,0,서울특별시
2,구로디지털타워,4,131,2,7,145,8,5,4,1824,290,서울특별시 구로구 디지털로32길 30 (구로동),37.483432,126.89648,0,서울특별시
3,구로디지털로,3,127,4,6,141,7,4,4,1883,267,"서울특별시 구로구 디지털로33길 11, 에이스테크노8차 1층 (구로동)",37.485911,126.895587,0,서울특별시
4,구로에이스,3,143,4,6,148,7,7,5,2021,316,"서울특별시 구로구 디지털로 285, 에이스트윈타워1차 103호 (구로동)",37.48448329,126.8944957,0,서울특별시
5,구로하이엔드,5,154,4,7,155,6,5,3,1932,366,"서울특별시 구로구 디지털로26길 5, 에이스하이엔드타워1차 103호 (구로동)",37.481618,126.893136,0,서울특별시
6,신림DT,1,84,2,12,98,10,6,2,1161,162,서울특별시 관악구 남부순환로 1419 (신림동),37.480935,126.908407,1,서울특별시
7,신세계아이앤씨,2,145,6,7,149,7,5,5,2077,333,"서울특별시 구로구 디지털로31길 61, 신세계디지털센터 101호 (구로동)",37.48587904,126.8916127,0,서울특별시
8,가산그레이트,2,154,3,4,160,1,8,4,1592,384,"서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 (가산동)",37.4794491,126.8874768,0,서울특별시
9,W-Mall,2,144,3,4,148,1,11,4,1395,335,서울특별시 금천구 디지털로 188 (가산동),37.47730499,126.8876908,0,서울특별시
10,독산사거리,3,64,0,8,91,4,7,3,962,130,서울특별시 금천구 시흥대로 426 (독산동),37.471511,126.898775,0,서울특별시
11,역삼아레나빌딩,3,220,3,5,178,5,26,0,2183,580,서울특별시 강남구 언주로 425 (역삼동),37.501087,127.043069,0,서울특별시
12,논현역사거리,5,219,6,3,145,5,25,2,2191,537,서울특별시 강남구 강남대로 538 (논현동),37.510178,127.022223,0,서울특별시
13,신사역성일빌딩,4,185,3,3,112,5,38,4,1944,520,서울특별시 강남구 강남대로 584 (논현동),37.514132,127.020563,0,서울특별시
14,국기원사거리,6,336,5,4,211,4,37,3,3046,842,서울특별시 강남구 테헤란로 125 (역삼동),37.499517,127.031495,0,서울특별시
15,스탈릿대치R,11,84,8,14,62,2,9,4,699,177,서울특별시 강남구 남부순환로 2947 (대치동),37.494668,127.062583,0,서울특별시
16,봉은사역,2,138,4,4,77,5,48,2,1032,254,서울특별시 강남구 봉은사로 619 (삼성동),37.515,127.063196,0,서울특별시
17,압구정윤성빌딩,2,202,2,7,107,7,83,4,2312,681,서울특별시 강남구 논현로 834 (신사동),37.5227934,127.0286009,0,서울특별시
18,코엑스별마당,3,199,3,5,111,4,50,5,1609,394,서울특별시 강남구 영동대로 513 (삼성동),37.51015,127.060275,0,서울특별시
19,삼성역섬유센터R,3,214,3,5,130,4,49,4,1818,446,서울특별시 강남구 테헤란로 518 (대치동),37.50775,127.060651,0,서울특별시
20,압구정R,2,143,2,9,82,5,62,5,1812,484,서울특별시 강남구 언주로 861 (신사동),37.5273669,127.033061,0,서울특별시
21,수서역R,1,25,2,5,21,2,2,1,283,49,서울특별시 강남구 광평로 281 (수서동),37.488008,127.10265,0,서울특별시
22,양재강남빌딩R,3,147,3,9,91,10,24,3,1211,333,서울특별시 강남구 남부순환로 2621 (도곡동),37.485192,127.036685,0,서울특별시
23,선릉동신빌딩R,4,238,5,6,162,5,23,4,2351,599,서울특별시 강남구 테헤란로 409 (삼성동),37.505321,127.050409,0,서울특별시
24,봉은사로선정릉,5,209,7,6,147,3,40,4,1985,517,서울특별시 강남구 봉은사로 446 (삼성동),37.511293,127.048409,0,서울특별시
25,강남오거리,4,302,5,6,183,3,33,3,2984,745,서울특별시 강남구 봉은사로2길 39 (역삼동),37.502117,127.026672,0,서울특별시
26,스타필드코엑스몰R,3,187,3,6,103,5,50,4,1547,378,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,37.50999,127.061455,0,서울특별시
27,강남구청정문,4,131,6,7,106,6,59,6,1534,408,서울특별시 강남구 학동로 419 (청담동),37.518181,127.045995,0,서울특별시
28,도곡공원,4,149,2,8,121,10,24,0,1429,372,서울특별시 강남구 도곡로 205 (역삼동),37.492805,127.041309,0,서울특별시
29,강남R,6,324,4,5,171,5,37,3,2784,762,서울특별시 강남구 강남대로 390 (역삼동),37.497711,127.028439,0,서울특별시
30,대치은마사거리,11,147,5,12,103,2,11,0,1339,322,서울특별시 강남구 도곡로 457 (대치동),37.498973,127.060172,0,서울특별시
31,청담영동대로,2,65,2,3,46,3,28,1,536,132,서울특별시 강남구 영동대로 720 (청담동),37.522156,127.056449,0,서울특별시
32,압구정,2,167,2,8,92,5,68,4,1952,579,서울특별시 강남구 압구정로30길 17 (신사동),37.526283,127.02956,0,서울특별시
33,신사가로수,1,161,2,4,87,6,50,3,1632,501,서울특별시 강남구 압구정로12길 32 (신사동),37.521852,127.02251,0,서울특별시
34,청담스타R,2,151,3,8,95,5,78,9,1857,473,서울특별시 강남구 도산대로57길 24 (청담동),37.525216,127.041827,0,서울특별시
35,강남우성,5,282,3,6,160,6,28,2,2262,598,서울특별시 강남구 강남대로 328 (역삼동),37.492396,127.03091,0,서울특별시
36,학동사거리,2,194,4,9,117,6,95,10,2333,615,서울특별시 강남구 도산대로 328 (논현동),37.5223645,127.0379543,0,서울특별시
37,대치사거리,7,229,4,10,135,3,21,3,1988,492,서울특별시 강남구 삼성로 402 (대치동),37.503331,127.058817,0,서울특별시
38,포스코사거리,4,242,5,6,144,4,52,5,2045,530,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,37.5075307,127.0574271,0,서울특별시
39,을지병원사거리,2,236,3,5,123,7,82,5,2267,690,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",37.5191632,127.0286446,0,서울특별시
40,신사역,4,181,3,5,110,5,44,4,1908,530,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,37.5162021,127.0207428,0,서울특별시
41,도곡역,12,80,6,18,61,0,5,2,669,171,서울특별시 강남구 남부순환로 2909 (대치동),37.492167,127.057398,0,서울특별시
